12:00-25-02-21 1627.57 1592.58000000
19:00-26-02-21 1429.75 1490.25000000
05:00-27-02-21 1501.08 1466.00000000
12:00-27-02-21 1453.55 1486.97000000
19:00-27-02-21 1508.2 1460.40000000
16:00-01-03-21 1419.18 1544.40000000
13:00-02-03-21 1555.48 1496.33000000
04:00-03-03-21 1563.97 1608.33000000
01:00-04-03-21 1577.27 1550.01000000
06:00-05-03-21 1507.77 1480.15000000
12:00-06-03-21 1533.36 1600.98000000
18:00-07-03-21 1675.01 1726.16000000
14:00-08-03-21 1690.11 1773.60000000
19:00-09-03-21 1811.44 1869.36000000
23:00-09-03-21 1826.15 1792.36000000
08:00-10-03-21 1844.35 1844.35000000
18:00-10-03-21 1804.45 1795.12000000
05:00-12-03-21 1838.54 1780.67000000
10:00-14-03-21 1789.99 1868.33000000
15:00-15-03-21 1863.27 1785.58000000
02:00-16-03-21 1749.05 1790.72000000
00:00-17-03-21 1795.33 1770.87000000
12:00-17-03-21 1757.31 1785.31000000
10:00-18-03-21 1821.44 1790.90000000
22:00-19-03-21 1811.39 1828.33000000
06:00-20-03-21 1821.63 1834.03000000
19:00-20-03-21 1827.39 1806.10000000
00:00-22-03-21 1763.58 1788.49000000
12:00-22-03-21 1789.16 1773.84000000
23:00-23-03-21 1665.18 1678.89000000
15:00-24-03-21 1711.68 1635.56000000
16:00-27-03-21 1613.33 1717.52000000
17:00-27-03-21 1728.27 1728.27000000
09:00-28-03-21 1711.55 1694.49000000
07:00-30-03-21 1735.1 1848.79000000
04:00-31-03-21 1832.76 1807.79000000
04:00-01-04-21 1846.31 1943.27000000
15:00-01-04-21 1929.24 1974.12000000
21:00-01-04-21 1958.16 1995.54000000
10:00-02-04-21 1994.71 2070.02000000
14:00-03-04-21 2099.78 2067.87000000
00:00-05-04-21 2084.89 2022.72000000
20:00-06-04-21 2080.52 2092.02000000
20:00-09-04-21 2043.18 2066.51000000
22:00-09-04-21 2096.98 2116.56000000
19:00-10-04-21 2158.11 2133.49000000
03:00-11-04-21 2152.05 2130.89000000
13:00-11-04-21 2127.19 2148.85000000
19:00-11-04-21 2151.21 2151.36000000
00:00-12-04-21 2138.28 2152.54000000
10:00-12-04-21 2137.74 2129.76000000
20:00-12-04-21 2137.69 2158.83000000
23:00-13-04-21 2295.21 2346.97000000
07:00-14-04-21 2359.83 2390.00000000
18:00-14-04-21 2359.04 2426.99000000
17:00-15-04-21 2449.57 2497.23000000
02:00-16-04-21 2489.13 2416.42000000
08:00-17-04-21 2476.83 2412.54000000
11:00-19-04-21 2256.0 2095.32000000
06:00-20-04-21 2088.5 2181.84000000
09:00-21-04-21 2174.32 2388.26000000
11:00-21-04-21 2440.76 2442.80000000
01:00-22-04-21 2374.32 2478.89000000
19:00-22-04-21 2535.54 2397.94000000
05:00-24-04-21 2278.36 2250.68000000
05:00-25-04-21 2187.18 2255.04000000
18:00-25-04-21 2320.64 2278.76000000
02:00-26-04-21 2453.42 2472.35000000
10:00-27-04-21 2483.52 2635.64000000
19:00-27-04-21 2622.69 2666.13000000
08:00-28-04-21 2627.29 2723.41000000
06:00-29-04-21 2722.22 2772.70000000
16:00-29-04-21 2725.01 2708.41000000
01:00-30-04-21 2762.44 2772.18000000
10:00-30-04-21 2739.02 2737.51000000
15:00-30-04-21 2775.99 2783.86000000
21:00-30-04-21 2753.48 2797.00000000
14:00-02-05-21 2901.51 2966.55000000
07:00-04-05-21 3282.13 3480.01000000
20:00-04-05-21 3228.49 3310.46000000
06:00-05-05-21 3381.52 3381.52000000
12:00-05-05-21 3305.9 3451.87000000
08:00-06-05-21 3440.35 3492.12000000
10:00-06-05-21 3481.47 3507.90000000
23:00-06-05-21 3457.2 3424.01000000
19:00-07-05-21 3503.21 3479.53000000
21:00-07-05-21 3528.17 3528.17000000
23:00-09-05-21 3921.49 4054.58000000
19:00-10-05-21 4038.18 3945.88000000
15:00-12-05-21 4055.98 4083.92000000
05:00-15-05-21 3934.92 3894.95000000
03:00-17-05-21 3728.01 3520.85000000
15:00-17-05-21 3204.13 3378.75000000
20:00-17-05-21 3226.5 3355.43000000
11:00-18-05-21 3509.17 3345.50000000
23:00-19-05-21 2438.92 2472.46000000
06:00-21-05-21 2874.84 2690.59000000
16:00-23-05-21 2231.9 2066.19000000
15:00-24-05-21 2133.16 2650.86000000
18:00-25-05-21 2582.48 2714.59000000
00:00-27-05-21 2850.51 2704.21000000
16:00-27-05-21 2781.73 2720.00000000
21:00-28-05-21 2427.35 2526.86000000
23:00-29-05-21 2391.0 2296.12000000
22:00-30-05-21 2418.79 2309.42000000
11:00-31-05-21 2492.99 2637.48000000
20:00-31-05-21 2730.67 2730.67000000
12:00-01-06-21 2630.79 2537.92000000
01:00-03-06-21 2633.64 2816.75000000
23:00-03-06-21 2778.39 2753.27000000
09:00-05-06-21 2760.27 2616.93000000
16:00-06-06-21 2731.74 2711.25000000
15:00-07-06-21 2783.0 2730.30000000
14:00-08-06-21 2437.54 2482.33000000
11:00-10-06-21 2476.49 2512.02000000
04:00-12-06-21 2376.77 2308.01000000
01:00-13-06-21 2434.7 2316.57000000
12:00-13-06-21 2333.52 2397.14000000
10:00-14-06-21 2437.82 2555.07000000
11:00-14-06-21 2577.17 2577.17000000
20:00-14-06-21 2540.44 2597.63000000
00:00-15-06-21 2586.82 2633.22000000
14:00-15-06-21 2580.63 2575.75000000
19:00-17-06-21 2363.72 2373.28000000
23:00-17-06-21 2331.48 2342.16000000
19:00-18-06-21 2284.96 2234.09000000
01:00-20-06-21 2176.47 2212.66000000
14:00-20-06-21 2100.63 2160.69000000
01:00-21-06-21 2251.11 2130.01000000
12:00-22-06-21 1792.33 1912.19000000
18:00-23-06-21 1998.49 1949.60000000
22:00-24-06-21 1965.99 2007.53000000
04:00-25-06-21 1995.45 1934.08000000
07:00-26-06-21 1752.0 1802.17000000
10:00-26-06-21 1743.06 1780.08000000
08:00-27-06-21 1865.05 1856.11000000
18:00-27-06-21 1838.86 1954.52000000
10:00-28-06-21 1999.84 2047.01000000
09:00-29-06-21 2084.41 2225.69000000
00:00-30-06-21 2221.56 2095.98000000
04:00-01-07-21 2236.99 2123.19000000
09:00-02-07-21 2041.2 2072.40000000
01:00-04-07-21 2112.36 2280.50000000
17:00-04-07-21 2350.79 2383.68000000
23:00-04-07-21 2328.17 2264.20000000
20:00-05-07-21 2196.53 2236.50000000
23:00-06-07-21 2319.61 2339.47000000
19:00-07-07-21 2355.01 2316.57000000
23:00-08-07-21 2106.48 2121.42000000
01:00-10-07-21 2163.4 2115.67000000
18:00-10-07-21 2086.08 2115.61000000
01:00-11-07-21 2093.76 2100.13000000
03:00-11-07-21 2091.57 2099.84000000
22:00-11-07-21 2129.0 2154.48000000
07:00-12-07-21 2146.17 2100.98000000
11:00-13-07-21 1969.65 1998.94000000
05:00-14-07-21 1961.91 1936.94000000
06:00-15-07-21 2012.19 1915.48000000
10:00-16-07-21 1872.48 1908.60000000
17:00-16-07-21 1924.69 1894.79000000
02:00-17-07-21 1879.69 1893.42000000
09:00-17-07-21 1853.01 1882.39000000
12:00-18-07-21 1894.15 1896.14000000
19:00-19-07-21 1876.12 1818.73000000
07:00-20-07-21 1783.37 1755.99000000
20:00-20-07-21 1785.33 1769.35000000
18:00-21-07-21 1801.87 1983.49000000
22:00-22-07-21 1963.15 2064.92000000
14:00-23-07-21 2044.6 2011.48000000
19:00-23-07-21 2088.84 2124.25000000
09:00-25-07-21 2145.72 2131.96000000
18:00-25-07-21 2165.35 2165.35000000
20:00-26-07-21 2331.05 2231.16000000
17:00-27-07-21 2277.35 2265.75000000
12:00-28-07-21 2299.49 2319.36000000
15:00-28-07-21 2262.67 2309.76000000
23:00-28-07-21 2294.45 2277.71000000
05:00-29-07-21 2294.37 2318.15000000
09:00-29-07-21 2294.57 2317.96000000
18:00-29-07-21 2312.76 2336.54000000
10:00-30-07-21 2350.72 2341.68000000
16:00-30-07-21 2378.91 2418.63000000
17:00-31-07-21 2458.58 2536.70000000
16:00-01-08-21 2582.72 2670.47000000
22:00-01-08-21 2601.12 2567.30000000
09:00-02-08-21 2602.76 2616.40000000
22:00-02-08-21 2597.9 2555.00000000
16:00-03-08-21 2469.03 2485.04000000
08:00-05-08-21 2588.61 2606.80000000
11:00-05-08-21 2802.95 2755.08000000
12:00-06-08-21 2772.62 2860.99000000
20:00-07-08-21 3057.0 3161.17000000
12:00-08-08-21 3108.24 3009.10000000
14:00-10-08-21 3131.32 3128.57000000
17:00-10-08-21 3168.97 3168.97000000
20:00-10-08-21 3141.66 3167.78000000
01:00-12-08-21 3235.19 3127.72000000
09:00-14-08-21 3234.95 3234.42000000
15:00-14-08-21 3247.96 3262.33000000
13:00-16-08-21 3301.79 3219.67000000
12:00-17-08-21 3239.96 3152.28000000
18:00-18-08-21 3004.21 3039.47000000
20:00-18-08-21 3014.55 3044.01000000
04:00-19-08-21 3007.26 3002.97000000
08:00-19-08-21 2973.39 2998.26000000
09:00-20-08-21 3046.87 3259.65000000
15:00-21-08-21 3250.8 3217.41000000
19:00-22-08-21 3234.25 3238.00000000
